id	org_name	paper_count	is_org	canonical_org_name	country	example1	example2	example3
73	Technische Universität Darmstadt	112	1	Technische Universität Darmstadt	Germany	https://www.aclweb.org/anthology/D15-1255.pdf	https://www.aclweb.org/anthology/Q14-1040.pdf	https://www.aclweb.org/anthology/D18-1171.pdf	
74	Saarland University	110	1	Saarland University	Germany	https://www.aclweb.org/anthology/P17-2080.pdf	https://www.aclweb.org/anthology/N19-1211.pdf	https://aaai.org/ojs/index.php/AAAI/article/view/4753/4631	
75	Toyota Technological Institute at Chicago	108	1	Toyota Technological Institute at Chicago	USA	https://www.aclweb.org/anthology/P18-1042.pdf	http://proceedings.mlr.press/v28/takac13.pdf	http://proceedings.mlr.press/v37/neyshabur15.pdf	
76	University of Rochester	107	1	University of Rochester	USA	https://papers.nips.cc//paper/5902-weighted-theta-functions-and-embeddings-with-applications-to-max-cut-clustering-and-summarization.pdf	https://papers.nips.cc//paper/4600-compressive-neural-representation-of-sparse-high-dimensional-probabilities.pdf	http://proceedings.mlr.press/v97/yu19f/yu19f.pdf	
77	Facebook	107	1	Facebook	USA	https://aaai.org/ocs/index.php/AAAI/AAAI18/paper/viewFile/17112/16776	https://aaai.org/ocs/index.php/AAAI/AAAI18/paper/viewFile/17092/16748	https://www.aclweb.org/anthology/D18-1382.pdf	
78	University of California San Diego	106	1	University of California San Diego	USA	https://www.aclweb.org/anthology/D19-1621.pdf	https://www.aclweb.org/anthology/D19-1613.pdf	http://proceedings.mlr.press/v28/menon13a.pdf	
79	Amazon	106	1	Amazon	USA	https://aaai.org/ojs/index.php/AAAI/article/view/3836/3714	https://www.aclweb.org/anthology/P18-1065.pdf	https://www.aclweb.org/anthology/N19-1183.pdf	
80	McGill University	105	1	McGill University	Canada	https://aaai.org/ocs/index.php/AAAI/AAAI18/paper/viewFile/17098/16675	https://www.aclweb.org/anthology/N15-1169.pdf	https://www.aclweb.org/anthology/D13-1114.pdf	
81	Purdue University	105	1	Purdue University	USA	https://www.aclweb.org/anthology/C18-1316.pdf	https://www.aaai.org/ocs/index.php/AAAI/AAAI15/paper/viewFile/9860/9989	https://www.aaai.org/ocs/index.php/AAAI/AAAI15/paper/viewFile/9720/9491	
82	Microsoft	100	1	Microsoft	USA	https://papers.nips.cc//paper/7462-precision-and-recall-for-time-series.pdf	https://www.aclweb.org/anthology/D15-1104.pdf	https://www.aclweb.org/anthology/D17-1285.pdf	
83	University of Massachusetts Amherst	100	1	University of Massachusetts Amherst	USA	http://proceedings.mlr.press/v37/sunc15.pdf	https://www.aclweb.org/anthology/D19-1161.pdf	https://www.aclweb.org/anthology/K19-1053.pdf	
84	Rensselaer Polytechnic Institute	100	1	Rensselaer Polytechnic Institute	USA	https://www.aclweb.org/anthology/C14-1148.pdf	https://papers.nips.cc//paper/5530-advances-in-learning-bayesian-networks-of-bounded-treewidth.pdf	https://papers.nips.cc//paper/9204-learning-mixtures-of-plackett-luce-models-from-structured-partial-orders.pdf	
85	Indian Institute of Science	100	1	Indian Institute of Science	India	https://papers.nips.cc//paper/8918-infra-slow-brain-dynamics-as-a-marker-for-cognitive-function-and-decline.pdf	https://aaai.org/ojs/index.php/AAAI/article/view/4915/4788	https://aaai.org/ojs/index.php/AAAI/article/view/4874/4747	
86	The University of Melbourne	100	1	University of Melbourne	Australia	https://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/viewFile/12129/11885	https://www.aclweb.org/anthology/C16-1091.pdf	https://www.aclweb.org/anthology/N15-1124.pdf	
87	Google DeepMind	99	1	DeepMind	UK	https://papers.nips.cc//paper/6414-strategic-attentive-writer-for-learning-macro-actions.pdf	https://www.aclweb.org/anthology/K16-1019.pdf	http://proceedings.mlr.press/v32/bellemare14.pdf	
88	Université de Montréal	96	1	Université de Montréal	Canada	http://arxiv.org/pdf/1311.6184.pdf	https://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/viewFile/12065/12113	https://www.aclweb.org/anthology/N19-1273.pdf	
89	Institute of Computer Science and Technology	93	0	None	None	https://www.aclweb.org/anthology/D14-1195.pdf	https://www.aclweb.org/anthology/C16-1316.pdf	https://aaai.org/ocs/index.php/AAAI/AAAI18/paper/viewFile/16746/15730	
90	The Ohio State University	93	1	The Ohio State University	USA	https://www.aclweb.org/anthology/D16-1054.pdf	https://www.aclweb.org/anthology/D19-1630.pdf	https://www.aclweb.org/anthology/P17-1181.pdf	
91	Sun Yat-sen University	91	1	Sun Yat-sen University	China	https://aaai.org/ocs/index.php/AAAI/AAAI18/paper/viewFile/16598/16115	https://aaai.org/ocs/index.php/AAAI/AAAI18/paper/viewFile/16654/16255	https://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/viewFile/11854/11708	
